type,batch,cap,price_b,fee_per_stone_b,seed,completed_upgrades,rng_draws,successes,failures,success_chance_per_attempt,attempt_cost_b,observed_mean_b,observed_sample_sd_b,mean_standard_error_b,mean_ci95_low_b,mean_ci95_high_b,observed_median_b,observed_p95_b,observed_p99_b,observed_max_b,below_guarantee_count,equal_guarantee_count,above_guarantee_count,below_guarantee_fraction,equal_guarantee_fraction,above_guarantee_fraction,analytic_mean_b,analytic_sd_b,sample_mean_minus_analytic_b,mean_error_in_sample_standard_errors
faith,18,20,12,1,202609100018,1000000,1110651,1000000,110651,0.9,234.0,259.892334,82.01674264915987,0.08201674264915987,259.7315841382784,260.05308386172163,234.0,468.0,468.0,1638.0,900349,0,99651,0.900349,0.0,0.099651,260,82.21921916437785,-0.10766599999999471,-1.3127319681611078
faith,19,20,12,1,202609100019,1000000,1052616,1000000,52616,0.95,247.0,259.996152,58.07054144211744,0.058070541442117436,259.8823358302107,260.1099681697893,247.0,494.0,494.0,1482.0,949949,0,50051,0.949949,0.0,0.050051,260,58.137767414994556,-0.0038480000000049586,-0.0662642349191888
faith,20,20,12,1,202609100020,1000000,1000000,1000000,0,1.0,260.0,260.0,0.0,0.0,260.0,260.0,260.0,260.0,260.0,260.0,0,1000000,0,0.0,1.0,0.0,260,0.0,0.0,
life,1,10,2,0.5,202609101001,1000000,10000450,1000000,9000450,0.1,2.5,25.001125,23.69934461948917,0.023699344619489172,24.954675138088596,25.0475748619114,17.5,72.5,110.0,325.0,612295,38897,348808,0.612295,0.038897,0.348808,25.0,23.717082451262844,0.0011249999999982663,0.047469667117846025
life,2,10,2,0.5,202609101002,1000000,5006792,1000000,4006792,0.2,5.0,25.03396,22.438344417485446,0.022438344417485444,24.989981653069023,25.077938346930978,20.0,70.0,105.0,305.0,590648,81723,327629,0.590648,0.081723,0.327629,25.0,22.360679774997898,0.033960000000000434,1.5134806458152301
life,3,10,2,0.5,202609101003,1000000,3337691,1000000,2337691,0.3,7.5,25.0326825,20.9266579636885,0.0209266579636885,24.991667004074383,25.073697995925617,15.0,67.5,97.5,300.0,656627,0,343373,0.656627,0.0,0.343373,25.0,20.91650066335189,0.03268249999999995,1.5617639499202378
life,4,10,2,0.5,202609101004,1000000,2504603,1000000,1504603,0.4,10.0,25.04603,19.41676230090275,0.01941676230090275,25.007973845193852,25.084086154806144,20.0,60.0,100.0,330.0,639286,0,360714,0.639286,0.0,0.360714,25.0,19.364916731037084,0.04602999999999824,2.37063210058755
life,5,10,2,0.5,202609101005,1000000,2001658,1000000,1001658,0.5,12.5,25.020725,17.68207625337578,0.01768207625337578,24.986068767371492,25.055381232628505,25.0,62.5,87.5,225.0,499561,249768,250671,0.499561,0.249768,0.250671,25.0,17.67766952966369,0.020724999999998772,1.1720908621261064
life,6,10,2,0.5,202609101006,1000000,1666542,1000000,666542,0.6,15.0,24.99813,15.796822340037128,0.01579682234003713,24.967168797143348,25.02909120285665,15.0,60.0,90.0,270.0,600073,0,399927,0.600073,0.0,0.399927,25.0,15.811388300841896,-0.0018700000000002603,-0.11837823834105772
life,7,10,2,0.5,202609101007,1000000,1428070,1000000,428070,0.7,17.5,24.991225,13.7068317227801,0.0137068317227801,24.9643601034812,25.0180898965188,17.5,52.5,70.0,227.5,700696,0,299304,0.700696,0.0,0.299304,25.0,13.693063937629155,-0.008774999999999977,-0.6401917071336293
life,8,10,2,0.5,202609101008,1000000,1250512,1000000,250512,0.8,20.0,25.01024,11.188459247100127,0.011188459247100126,24.98831102283319,25.03216897716681,20.0,40.0,60.0,180.0,799616,0,200384,0.799616,0.0,0.200384,25.0,11.180339887498947,0.010239999999999583,0.9152287883296917
life,9,10,2,0.5,202609101009,1000000,1111199,1000000,111199,0.9,22.5,25.0019775,7.896503320727374,0.007896503320727374,24.986500637887573,25.017454362112424,22.5,45.0,45.0,180.0,899736,0,100264,0.899736,0.0,0.100264,25.0,7.905694150420947,0.001977499999998855,0.250427299233593
life,10,10,2,0.5,202609101010,1000000,1000000,1000000,0,1.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,0,1000000,0,0.0,1.0,0.0,25.0,0.0,0.0,
